Simulation started: 14:50:07.959749300
Task number: 1000
Queue number: 20
Time limit: 200
Tasks:
Task{ID=242, arrivalTime=10, serviceTime=8}
Task{ID=355, arrivalTime=10, serviceTime=7}
Task{ID=408, arrivalTime=10, serviceTime=8}
Task{ID=456, arrivalTime=10, serviceTime=6}
Task{ID=553, arrivalTime=10, serviceTime=6}
Task{ID=563, arrivalTime=10, serviceTime=6}
Task{ID=595, arrivalTime=10, serviceTime=3}
Task{ID=692, arrivalTime=10, serviceTime=6}
Task{ID=695, arrivalTime=10, serviceTime=3}
Task{ID=704, arrivalTime=10, serviceTime=6}
Task{ID=960, arrivalTime=10, serviceTime=6}
Task{ID=71, arrivalTime=11, serviceTime=3}
Task{ID=83, arrivalTime=11, serviceTime=7}
Task{ID=130, arrivalTime=11, serviceTime=3}
Task{ID=297, arrivalTime=11, serviceTime=3}
Task{ID=323, arrivalTime=11, serviceTime=6}
Task{ID=328, arrivalTime=11, serviceTime=7}
Task{ID=354, arrivalTime=11, serviceTime=5}
Task{ID=523, arrivalTime=11, serviceTime=5}
Task{ID=648, arrivalTime=11, serviceTime=6}
Task{ID=672, arrivalTime=11, serviceTime=4}
Task{ID=699, arrivalTime=11, serviceTime=3}
Task{ID=827, arrivalTime=11, serviceTime=5}
Task{ID=832, arrivalTime=11, serviceTime=5}
Task{ID=876, arrivalTime=11, serviceTime=3}
Task{ID=989, arrivalTime=11, serviceTime=3}
Task{ID=167, arrivalTime=12, serviceTime=7}
Task{ID=188, arrivalTime=12, serviceTime=4}
Task{ID=338, arrivalTime=12, serviceTime=3}
Task{ID=423, arrivalTime=12, serviceTime=4}
Task{ID=535, arrivalTime=12, serviceTime=8}
Task{ID=589, arrivalTime=12, serviceTime=8}
Task{ID=602, arrivalTime=12, serviceTime=7}
Task{ID=712, arrivalTime=12, serviceTime=3}
Task{ID=721, arrivalTime=12, serviceTime=4}
Task{ID=880, arrivalTime=12, serviceTime=3}
Task{ID=902, arrivalTime=12, serviceTime=6}
Task{ID=920, arrivalTime=12, serviceTime=7}
Task{ID=995, arrivalTime=12, serviceTime=5}
Task{ID=18, arrivalTime=13, serviceTime=6}
Task{ID=44, arrivalTime=13, serviceTime=8}
Task{ID=61, arrivalTime=13, serviceTime=6}
Task{ID=76, arrivalTime=13, serviceTime=7}
Task{ID=157, arrivalTime=13, serviceTime=4}
Task{ID=549, arrivalTime=13, serviceTime=3}
Task{ID=657, arrivalTime=13, serviceTime=8}
Task{ID=875, arrivalTime=13, serviceTime=3}
Task{ID=64, arrivalTime=14, serviceTime=4}
Task{ID=70, arrivalTime=14, serviceTime=6}
Task{ID=266, arrivalTime=14, serviceTime=4}
Task{ID=366, arrivalTime=14, serviceTime=4}
Task{ID=387, arrivalTime=14, serviceTime=6}
Task{ID=464, arrivalTime=14, serviceTime=3}
Task{ID=545, arrivalTime=14, serviceTime=8}
Task{ID=654, arrivalTime=14, serviceTime=5}
Task{ID=696, arrivalTime=14, serviceTime=8}
Task{ID=831, arrivalTime=14, serviceTime=6}
Task{ID=854, arrivalTime=14, serviceTime=7}
Task{ID=924, arrivalTime=14, serviceTime=8}
Task{ID=994, arrivalTime=14, serviceTime=8}
Task{ID=11, arrivalTime=15, serviceTime=4}
Task{ID=35, arrivalTime=15, serviceTime=4}
Task{ID=108, arrivalTime=15, serviceTime=7}
Task{ID=161, arrivalTime=15, serviceTime=6}
Task{ID=187, arrivalTime=15, serviceTime=5}
Task{ID=215, arrivalTime=15, serviceTime=8}
Task{ID=811, arrivalTime=15, serviceTime=8}
Task{ID=885, arrivalTime=15, serviceTime=6}
Task{ID=41, arrivalTime=16, serviceTime=3}
Task{ID=94, arrivalTime=16, serviceTime=4}
Task{ID=141, arrivalTime=16, serviceTime=5}
Task{ID=312, arrivalTime=16, serviceTime=7}
Task{ID=482, arrivalTime=16, serviceTime=4}
Task{ID=698, arrivalTime=16, serviceTime=8}
Task{ID=705, arrivalTime=16, serviceTime=3}
Task{ID=713, arrivalTime=16, serviceTime=7}
Task{ID=747, arrivalTime=16, serviceTime=8}
Task{ID=748, arrivalTime=16, serviceTime=3}
Task{ID=758, arrivalTime=16, serviceTime=3}
Task{ID=879, arrivalTime=16, serviceTime=3}
Task{ID=991, arrivalTime=16, serviceTime=7}
Task{ID=59, arrivalTime=17, serviceTime=3}
Task{ID=123, arrivalTime=17, serviceTime=7}
Task{ID=191, arrivalTime=17, serviceTime=6}
Task{ID=248, arrivalTime=17, serviceTime=7}
Task{ID=661, arrivalTime=17, serviceTime=4}
Task{ID=771, arrivalTime=17, serviceTime=8}
Task{ID=782, arrivalTime=17, serviceTime=3}
Task{ID=838, arrivalTime=17, serviceTime=4}
Task{ID=985, arrivalTime=17, serviceTime=4}
Task{ID=77, arrivalTime=18, serviceTime=5}
Task{ID=168, arrivalTime=18, serviceTime=8}
Task{ID=183, arrivalTime=18, serviceTime=4}
Task{ID=240, arrivalTime=18, serviceTime=7}
Task{ID=331, arrivalTime=18, serviceTime=8}
Task{ID=430, arrivalTime=18, serviceTime=6}
Task{ID=472, arrivalTime=18, serviceTime=5}
Task{ID=677, arrivalTime=18, serviceTime=3}
Task{ID=816, arrivalTime=18, serviceTime=4}
Task{ID=850, arrivalTime=18, serviceTime=8}
Task{ID=888, arrivalTime=18, serviceTime=7}
Task{ID=943, arrivalTime=18, serviceTime=5}
Task{ID=8, arrivalTime=19, serviceTime=6}
Task{ID=80, arrivalTime=19, serviceTime=6}
Task{ID=112, arrivalTime=19, serviceTime=3}
Task{ID=128, arrivalTime=19, serviceTime=7}
Task{ID=129, arrivalTime=19, serviceTime=5}
Task{ID=220, arrivalTime=19, serviceTime=6}
Task{ID=253, arrivalTime=19, serviceTime=3}
Task{ID=309, arrivalTime=19, serviceTime=5}
Task{ID=319, arrivalTime=19, serviceTime=4}
Task{ID=335, arrivalTime=19, serviceTime=5}
Task{ID=363, arrivalTime=19, serviceTime=6}
Task{ID=446, arrivalTime=19, serviceTime=7}
Task{ID=627, arrivalTime=19, serviceTime=7}
Task{ID=727, arrivalTime=19, serviceTime=7}
Task{ID=839, arrivalTime=19, serviceTime=8}
Task{ID=947, arrivalTime=19, serviceTime=7}
Task{ID=996, arrivalTime=19, serviceTime=3}
Task{ID=146, arrivalTime=20, serviceTime=3}
Task{ID=169, arrivalTime=20, serviceTime=5}
Task{ID=173, arrivalTime=20, serviceTime=6}
Task{ID=411, arrivalTime=20, serviceTime=3}
Task{ID=473, arrivalTime=20, serviceTime=4}
Task{ID=506, arrivalTime=20, serviceTime=8}
Task{ID=518, arrivalTime=20, serviceTime=8}
Task{ID=558, arrivalTime=20, serviceTime=5}
Task{ID=615, arrivalTime=20, serviceTime=6}
Task{ID=719, arrivalTime=20, serviceTime=3}
Task{ID=722, arrivalTime=20, serviceTime=8}
Task{ID=999, arrivalTime=20, serviceTime=8}
Task{ID=10, arrivalTime=21, serviceTime=4}
Task{ID=52, arrivalTime=21, serviceTime=7}
Task{ID=228, arrivalTime=21, serviceTime=5}
Task{ID=296, arrivalTime=21, serviceTime=3}
Task{ID=322, arrivalTime=21, serviceTime=4}
Task{ID=455, arrivalTime=21, serviceTime=8}
Task{ID=633, arrivalTime=21, serviceTime=8}
Task{ID=670, arrivalTime=21, serviceTime=8}
Task{ID=679, arrivalTime=21, serviceTime=5}
Task{ID=852, arrivalTime=21, serviceTime=7}
Task{ID=31, arrivalTime=22, serviceTime=3}
Task{ID=68, arrivalTime=22, serviceTime=5}
Task{ID=179, arrivalTime=22, serviceTime=4}
Task{ID=400, arrivalTime=22, serviceTime=3}
Task{ID=716, arrivalTime=22, serviceTime=4}
Task{ID=785, arrivalTime=22, serviceTime=3}
Task{ID=833, arrivalTime=22, serviceTime=6}
Task{ID=848, arrivalTime=22, serviceTime=5}
Task{ID=870, arrivalTime=22, serviceTime=4}
Task{ID=891, arrivalTime=22, serviceTime=7}
Task{ID=936, arrivalTime=22, serviceTime=5}
Task{ID=149, arrivalTime=23, serviceTime=4}
Task{ID=332, arrivalTime=23, serviceTime=7}
Task{ID=438, arrivalTime=23, serviceTime=6}
Task{ID=783, arrivalTime=23, serviceTime=8}
Task{ID=845, arrivalTime=23, serviceTime=6}
Task{ID=882, arrivalTime=23, serviceTime=7}
Task{ID=977, arrivalTime=23, serviceTime=8}
Task{ID=98, arrivalTime=24, serviceTime=4}
Task{ID=166, arrivalTime=24, serviceTime=7}
Task{ID=171, arrivalTime=24, serviceTime=3}
Task{ID=304, arrivalTime=24, serviceTime=6}
Task{ID=340, arrivalTime=24, serviceTime=3}
Task{ID=343, arrivalTime=24, serviceTime=7}
Task{ID=370, arrivalTime=24, serviceTime=6}
Task{ID=396, arrivalTime=24, serviceTime=7}
Task{ID=421, arrivalTime=24, serviceTime=8}
Task{ID=483, arrivalTime=24, serviceTime=3}
Task{ID=641, arrivalTime=24, serviceTime=6}
Task{ID=735, arrivalTime=24, serviceTime=6}
Task{ID=772, arrivalTime=24, serviceTime=5}
Task{ID=794, arrivalTime=24, serviceTime=5}
Task{ID=824, arrivalTime=24, serviceTime=3}
Task{ID=828, arrivalTime=24, serviceTime=3}
Task{ID=901, arrivalTime=24, serviceTime=8}
Task{ID=929, arrivalTime=24, serviceTime=3}
Task{ID=133, arrivalTime=25, serviceTime=7}
Task{ID=135, arrivalTime=25, serviceTime=6}
Task{ID=442, arrivalTime=25, serviceTime=4}
Task{ID=454, arrivalTime=25, serviceTime=3}
Task{ID=653, arrivalTime=25, serviceTime=8}
Task{ID=726, arrivalTime=25, serviceTime=4}
Task{ID=798, arrivalTime=25, serviceTime=3}
Task{ID=836, arrivalTime=25, serviceTime=3}
Task{ID=847, arrivalTime=25, serviceTime=8}
Task{ID=906, arrivalTime=25, serviceTime=4}
Task{ID=945, arrivalTime=25, serviceTime=7}
Task{ID=96, arrivalTime=26, serviceTime=8}
Task{ID=271, arrivalTime=26, serviceTime=3}
Task{ID=414, arrivalTime=26, serviceTime=4}
Task{ID=499, arrivalTime=26, serviceTime=7}
Task{ID=614, arrivalTime=26, serviceTime=7}
Task{ID=650, arrivalTime=26, serviceTime=6}
Task{ID=659, arrivalTime=26, serviceTime=8}
Task{ID=673, arrivalTime=26, serviceTime=5}
Task{ID=793, arrivalTime=26, serviceTime=8}
Task{ID=912, arrivalTime=26, serviceTime=5}
Task{ID=6, arrivalTime=27, serviceTime=4}
Task{ID=47, arrivalTime=27, serviceTime=3}
Task{ID=306, arrivalTime=27, serviceTime=4}
Task{ID=371, arrivalTime=27, serviceTime=4}
Task{ID=453, arrivalTime=27, serviceTime=5}
Task{ID=643, arrivalTime=27, serviceTime=3}
Task{ID=668, arrivalTime=27, serviceTime=8}
Task{ID=694, arrivalTime=27, serviceTime=8}
Task{ID=761, arrivalTime=27, serviceTime=7}
Task{ID=770, arrivalTime=27, serviceTime=6}
Task{ID=232, arrivalTime=28, serviceTime=5}
Task{ID=265, arrivalTime=28, serviceTime=3}
Task{ID=569, arrivalTime=28, serviceTime=3}
Task{ID=678, arrivalTime=28, serviceTime=3}
Task{ID=724, arrivalTime=28, serviceTime=6}
Task{ID=878, arrivalTime=28, serviceTime=4}
Task{ID=55, arrivalTime=29, serviceTime=5}
Task{ID=213, arrivalTime=29, serviceTime=3}
Task{ID=324, arrivalTime=29, serviceTime=7}
Task{ID=637, arrivalTime=29, serviceTime=3}
Task{ID=877, arrivalTime=29, serviceTime=8}
Task{ID=911, arrivalTime=29, serviceTime=4}
Task{ID=946, arrivalTime=29, serviceTime=3}
Task{ID=978, arrivalTime=29, serviceTime=6}
Task{ID=116, arrivalTime=30, serviceTime=5}
Task{ID=143, arrivalTime=30, serviceTime=8}
Task{ID=201, arrivalTime=30, serviceTime=8}
Task{ID=282, arrivalTime=30, serviceTime=5}
Task{ID=349, arrivalTime=30, serviceTime=8}
Task{ID=404, arrivalTime=30, serviceTime=6}
Task{ID=638, arrivalTime=30, serviceTime=8}
Task{ID=777, arrivalTime=30, serviceTime=8}
Task{ID=190, arrivalTime=31, serviceTime=3}
Task{ID=259, arrivalTime=31, serviceTime=4}
Task{ID=350, arrivalTime=31, serviceTime=3}
Task{ID=420, arrivalTime=31, serviceTime=5}
Task{ID=591, arrivalTime=31, serviceTime=7}
Task{ID=674, arrivalTime=31, serviceTime=7}
Task{ID=734, arrivalTime=31, serviceTime=3}
Task{ID=790, arrivalTime=31, serviceTime=5}
Task{ID=796, arrivalTime=31, serviceTime=5}
Task{ID=799, arrivalTime=31, serviceTime=4}
Task{ID=24, arrivalTime=32, serviceTime=5}
Task{ID=93, arrivalTime=32, serviceTime=7}
Task{ID=318, arrivalTime=32, serviceTime=6}
Task{ID=655, arrivalTime=32, serviceTime=7}
Task{ID=744, arrivalTime=32, serviceTime=5}
Task{ID=957, arrivalTime=32, serviceTime=4}
Task{ID=962, arrivalTime=32, serviceTime=4}
Task{ID=154, arrivalTime=33, serviceTime=6}
Task{ID=159, arrivalTime=33, serviceTime=3}
Task{ID=225, arrivalTime=33, serviceTime=8}
Task{ID=467, arrivalTime=33, serviceTime=3}
Task{ID=725, arrivalTime=33, serviceTime=4}
Task{ID=762, arrivalTime=33, serviceTime=8}
Task{ID=825, arrivalTime=33, serviceTime=6}
Task{ID=866, arrivalTime=33, serviceTime=3}
Task{ID=990, arrivalTime=33, serviceTime=6}
Task{ID=69, arrivalTime=34, serviceTime=5}
Task{ID=122, arrivalTime=34, serviceTime=7}
Task{ID=218, arrivalTime=34, serviceTime=5}
Task{ID=276, arrivalTime=34, serviceTime=7}
Task{ID=329, arrivalTime=34, serviceTime=7}
Task{ID=330, arrivalTime=34, serviceTime=5}
Task{ID=412, arrivalTime=34, serviceTime=7}
Task{ID=486, arrivalTime=34, serviceTime=3}
Task{ID=581, arrivalTime=34, serviceTime=7}
Task{ID=664, arrivalTime=34, serviceTime=4}
Task{ID=775, arrivalTime=34, serviceTime=7}
Task{ID=864, arrivalTime=34, serviceTime=4}
Task{ID=869, arrivalTime=34, serviceTime=7}
Task{ID=970, arrivalTime=34, serviceTime=3}
