Simulation started: 12:40:55.451751
Task number: 12
Queue number: 29
Time limit: 12
Task{ID=11, arrivalTime=1, serviceTime=1}
Task{ID=6, arrivalTime=2, serviceTime=1}
Task{ID=9, arrivalTime=2, serviceTime=1}
Task{ID=7, arrivalTime=3, serviceTime=1}
Task{ID=3, arrivalTime=4, serviceTime=1}
Task{ID=1, arrivalTime=5, serviceTime=1}
Task{ID=8, arrivalTime=5, serviceTime=1}
Task{ID=0, arrivalTime=6, serviceTime=1}
Task{ID=5, arrivalTime=6, serviceTime=1}
Task{ID=10, arrivalTime=7, serviceTime=1}
Task{ID=2, arrivalTime=8, serviceTime=1}
Task{ID=4, arrivalTime=9, serviceTime=1}
